Original Value,New Value
10176.425106746183,10036.612712705475
10023.623579475392,10108.43080072442
10011.460431979547,10148.632939229694
10186.77446791885,10016.696995651011
10181.293604937344,10021.940892345481
10188.667979373147,10068.6255258858
10131.557418006114,10070.419748870889
10132.968148076214,10057.569627991576
10170.20626515438,10040.526548306876
10048.685465734568,10165.994296323894
10009.41377854355,10178.477838016206
10185.549011894658,10026.696969985147
10193.018741936263,10090.133454339006
10160.204786640526,10062.541667047539
10161.611823528818,10025.949904435416
10162.752679695426,10031.94890921203
10179.74151369689,10034.948411600337
10183.338123684425,10044.721382736356
10167.251851363699,10037.897448695316
10010.6409577498,10184.000724956248
10002.258963332379,10177.34528247561
